,"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP', 'NPS'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V', 'NPO'))","('VP', ('V',))","('VP', ('VP', 'NPA'))"
159,1,0,0,0,0,0,0,0,0,0,0.65,0.183333333,0.15,0.016666667,0.118644068,0.745762712,0.033898305,0.101694915,0,1,0,0,0,1,0
160,1,0,0,0,1,0,0,0,0,0,0.629032258,0.177419355,0.193548387,0,0.074074074,0.814814815,0,0.111111111,0,1,0.019607843,0,0.039215686,0.941176471,0
161,1,0,0,0,0,0,0,0,0,0,0.696428571,0.196428571,0.107142857,0,0.161290323,0.709677419,0.032258065,0.096774194,0,1,0.019607843,0,0,0.980392157,0
162,1,0,0,0,0,0.672413793,0.189655172,0.120689655,0.017241379,1,0,0,0,0,0.072727273,0.018181818,0.018181818,0,0.890909091,1,0.072727273,0.8,0.109090909,0,0.018181818
163,0.916666667,0,0,0.083333333,0,0.709090909,0.2,0.072727273,0.018181818,1,0,0,0,0,0.018867925,0.150943396,0.037735849,0,0.79245283,1,0.038461538,0.846153846,0.115384615,0,0
164,0.8,0.066666667,0,0.133333333,0,0.730769231,0.211538462,0.038461538,0.019230769,0.875,0,0,0,0.125,0.036363636,0.127272727,0.054545455,0,0.781818182,1,0.038461538,0.846153846,0.096153846,0.019230769,0
165,1,0,0,0,0,0.75,0.211538462,0.019230769,0.019230769,0.857142857,0,0,0.071428571,0.071428571,0.038461538,0.211538462,0,0.019230769,0.730769231,1,0,0.862745098,0.117647059,0,0.019607843
166,1,0,0,0,0,0.696428571,0.196428571,0.089285714,0.017857143,0.8,0,0,0.2,0,0.087719298,0.070175439,0.035087719,0,0.807017544,1,0.019607843,0.862745098,0.117647059,0,0
167,0.95,0,0,0.05,0,0,0,0,0,0,0.639344262,0.180327869,0.180327869,0,0.071428571,0.785714286,0.035714286,0.107142857,0,1,0.019607843,0,0,0.980392157,0
168,1,0,0,0,0,0.735849057,0.20754717,0.037735849,0.018867925,0,0,0,0,0,0.018867925,0,0.037735849,0,0.943396226,1,0.206349206,0.698412698,0.095238095,0,0
169,0.95,0,0,0.05,0,0,0,0,0,0,0.65,0.183333333,0.15,0.016666667,0.107142857,0.785714286,0,0.107142857,0,1,0,0,0,0.961538462,0.038461538
170,1,0,0,0,1,0,0,0,0,0,0.684210526,0.192982456,0.122807018,0,0.137931034,0.75862069,0,0.103448276,0,1,0.018867925,0,0.018867925,0.924528302,0.037735849
171,0.95,0,0.05,0,0,0,0,0,0,0,0.735849057,0.188679245,0.075471698,0,0.206349206,0.682539683,0,0.095238095,0.015873016,1,0.018867925,0,0,0.943396226,0.037735849
172,1,0,0,0,0,0.609375,0.171875,0.203125,0.015625,0,0,0,0,0,0.019230769,0,0.019230769,0,0.961538462,1,0.037735849,0.830188679,0.113207547,0,0.018867925
173,1,0,0,0,1,0,0,0,0,0,0.696428571,0.196428571,0.107142857,0,0.166666667,0.733333333,0,0.1,0,1,0,0.019230769,0,0.942307692,0.038461538
174,1,0,0,0,1,0,0,0,0,0,0.696428571,0.196428571,0.089285714,0.017857143,0.163934426,0.721311475,0.016393443,0.098360656,0,1,0.019607843,0,0.019607843,0.960784314,0
175,1,0,0,0,0,0.684210526,0.192982456,0.105263158,0.01754386,1,0,0,0,0,0,0,0.019607843,0.019607843,0.960784314,1,0.166666667,0.733333333,0.1,0,0
176,1,0,0,0,0,0.661016949,0.186440678,0.13559322,0.016949153,1,0,0,0,0,0,0,0,0.02,0.98,1,0.13559322,0.745762712,0.101694915,0,0.016949153
