,"('S', ('VP',))","('S', ('NP', 'VP'))","('S', ('NP', 'S'))","('S', ('VP', 'NP'))","('S', ('S', 'NP'))","('VP', ('NP', 'VP'))","('VP', ('NP', 'V'))","('VP', ('V',))","('VP', ('VP', 'NP'))","('VP', ('V', 'NP'))","('NP', ('NP', 'NP'))","('NP', 'np')","('V', 'v')"
228,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.675,0.0,0.075,0.0,1.0,1.0
229,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,1.0,1.0
230,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.675,0.0,0.075,0.0,1.0,1.0
231,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,1.0,1.0
232,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.675,0.0,0.075,0.0,1.0,1.0
233,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,1.0,1.0
234,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,1.0,1.0
235,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,1.0,1.0
236,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,1.0,1.0
237,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,1.0,1.0
238,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,1.0,1.0
239,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,1.0,1.0
240,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,1.0,1.0
241,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.675,0.0,0.075,0.0,1.0,1.0
