,"('S', ('VP',))","('S', ('NP', 'S'))","('S', ('S', 'NP'))","('S', ('NP', 'VP'))","('S', ('VP', 'NP'))","('VP', ('V', 'NP'))","('VP', ('NP', 'V'))","('VP', ('NP', 'VP'))","('VP', ('VP', 'NP'))","('VP', ('V',))","('NP', ('NP', 'NP'))","('NP', 'np')","('V', 'v')"
179,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0967741935483871,0.25806451612903225,0.6451612903225806,0.0,1.0,1.0
180,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0967741935483871,0.25806451612903225,0.6451612903225806,0.0,1.0,1.0
181,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0967741935483871,0.25806451612903225,0.6451612903225806,0.0,1.0,1.0
182,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0967741935483871,0.25806451612903225,0.6451612903225806,0.0,1.0,1.0
183,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0967741935483871,0.25806451612903225,0.6451612903225806,0.0,1.0,1.0
184,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.125,0.25,0.625,0.0,1.0,1.0
185,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0967741935483871,0.25806451612903225,0.6451612903225806,0.0,1.0,1.0
186,0.10714285714285714,0.0,0.2857142857142857,0.6071428571428571,0.0,0.0,0.15,0.0,0.0,0.85,0.0,1.0,1.0
187,0.6071428571428571,0.0,0.2857142857142857,0.10714285714285714,0.0,0.0,0.85,0.0,0.0,0.15,0.0,1.0,1.0
188,0.6071428571428571,0.0,0.2857142857142857,0.10714285714285714,0.0,0.0,0.85,0.0,0.0,0.15,0.0,1.0,1.0
189,0.2,0.0,0.0,0.8,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.5714285714285714,0.0,1.0,1.0
190,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.125,0.25,0.625,0.0,1.0,1.0
191,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0967741935483871,0.25806451612903225,0.6451612903225806,0.0,1.0,1.0
192,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0967741935483871,0.25806451612903225,0.6451612903225806,0.0,1.0,1.0
193,0.6071428571428571,0.0,0.2857142857142857,0.10714285714285714,0.0,0.0,0.85,0.0,0.0,0.15,0.0,1.0,1.0
194,0.6071428571428571,0.0,0.2857142857142857,0.10714285714285714,0.0,0.0,0.85,0.0,0.0,0.15,0.0,1.0,1.0
195,0.6071428571428571,0.0,0.2857142857142857,0.10714285714285714,0.0,0.0,0.85,0.0,0.0,0.15,0.0,1.0,1.0
196,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0967741935483871,0.25806451612903225,0.6451612903225806,0.0,1.0,1.0
197,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
198,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
199,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
200,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
201,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
