,"('S', ('VP',))","('S', ('VP', 'NP'))","('S', ('S', 'NP'))","('S', ('NP', 'VP'))","('S', ('NP', 'S'))","('VP', ('NP', 'V'))","('VP', ('VP', 'NP'))","('VP', ('NP', 'VP'))","('VP', ('V', 'NP'))","('VP', ('V',))","('NP', 'np')","('NP', ('NP', 'NP'))","('V', 'v')"
141,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
142,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
143,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
144,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
145,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
146,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
147,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
148,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
149,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
150,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
151,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
152,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
153,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
154,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
155,0.5,0.3333333333333333,0.0,0.0,0.16666666666666666,0.8,0.0,0.0,0.0,0.2,1.0,0.0,1.0
156,0.5,0.3333333333333333,0.0,0.0,0.16666666666666666,0.8,0.0,0.0,0.0,0.2,1.0,0.0,1.0
157,0.5,0.3333333333333333,0.0,0.0,0.16666666666666666,0.8,0.0,0.0,0.0,0.2,1.0,0.0,1.0
158,0.5,0.3333333333333333,0.0,0.0,0.16666666666666666,0.8,0.0,0.0,0.0,0.2,1.0,0.0,1.0
159,0.8,0.0,0.0,0.2,0.0,0.5714285714285714,0.2857142857142857,0.0,0.0,0.14285714285714285,1.0,0.0,1.0
160,0.4,0.0,0.0,0.6,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.42857142857142855,1.0,0.0,1.0
161,0.2,0.0,0.0,0.8,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.5714285714285714,1.0,0.0,1.0
162,0.6,0.4,0.0,0.0,0.0,0.5384615384615384,0.0,0.23076923076923078,0.0,0.23076923076923078,1.0,0.0,1.0
163,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
164,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
165,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
166,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
167,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
168,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
170,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
171,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
172,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
173,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
175,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
176,0.7,0.0,0.0,0.3,0.0,0.5,0.2857142857142857,0.0,0.0,0.21428571428571427,1.0,0.0,1.0
177,0.5,0.3333333333333333,0.0,0.0,0.16666666666666666,0.8,0.0,0.0,0.0,0.2,1.0,0.0,1.0
178,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
179,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
180,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
