,"('S', ('VP',))","('S', ('S', 'NPA'))","('S', ('NPS', 'VP'))","('S', ('NPA', 'S'))","('VP', ('NPA', 'VP'))","('VP', ('V',))","('VP', ('VP', 'NPA'))","('VP', ('NPO', 'V'))","('NPS', ('NPS', 'NPA'))","('NPS', ('NPA', 'NPS'))","('NPS', 'np2')","('NPS', 'np1')","('NPS', 'np')","('NPO', ('NPO', 'NPA'))","('NPO', ('NPA', 'NPO'))","('NPO', 'np2')","('NPO', 'np1')","('NPO', 'np')","('NPA', ('NPA', 'NPA'))","('NPA', 'np2')","('NPA', 'np1')","('NPA', 'np')","('V', 'v')"
36,0.7903225806451613,0.08064516129032258,0.016129032258064516,0.11290322580645161,0.11666666666666667,0.11666666666666667,0.05,0.7166666666666667,0.0,0.0,0.0,0.0,1.0,0.022222222222222223,0.022222222222222223,0.2222222222222222,0.7333333333333333,0.0,0.038461538461538464,0.038461538461538464,0.23076923076923078,0.6923076923076923,1.0
37,0.09803921568627451,0.0,0.8823529411764706,0.0196078431372549,0.0,0.8448275862068966,0.13793103448275862,0.017241379310344827,0.0,0.22413793103448276,0.1724137931034483,0.5862068965517241,0.017241379310344827,0.0,0.0,0.0,0.0,1.0,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.7083333333333334,1.0
38,0.0847457627118644,0.11864406779661017,0.7627118644067796,0.03389830508474576,0.0,0.9615384615384616,0.038461538461538464,0.0,0.017241379310344827,0.20689655172413793,0.1724137931034483,0.5862068965517241,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.20833333333333334,0.75,1.0
39,0.07692307692307693,0.13846153846153847,0.6923076923076923,0.09230769230769231,0.0,0.98,0.0,0.02,0.0,0.1509433962264151,0.18867924528301888,0.6415094339622641,0.018867924528301886,0.0,0.0,0.0,0.0,1.0,0.0,0.043478260869565216,0.21739130434782608,0.7391304347826086,1.0
40,0.11864406779661017,0.1016949152542373,0.7288135593220338,0.05084745762711865,0.05357142857142857,0.8928571428571429,0.05357142857142857,0.0,0.0,0.2037037037037037,0.16666666666666666,0.6296296296296297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.19230769230769232,0.7307692307692307,1.0
41,0.10714285714285714,0.07142857142857142,0.7857142857142857,0.03571428571428571,0.0,0.9074074074074074,0.07407407407407407,0.018518518518518517,0.0,0.22807017543859648,0.17543859649122806,0.5964912280701754,0.0,0.0,0.0,0.0,0.0,1.0,0.04,0.04,0.2,0.72,1.0
42,0.08333333333333333,0.06666666666666667,0.75,0.1,0.0,0.8909090909090909,0.09090909090909091,0.01818181818181818,0.0,0.1509433962264151,0.18867924528301888,0.6415094339622641,0.018867924528301886,0.0,0.0,0.0,0.0,1.0,0.0,0.043478260869565216,0.21739130434782608,0.7391304347826086,1.0
43,0.10526315789473684,0.07017543859649122,0.7719298245614035,0.05263157894736842,0.03508771929824561,0.8596491228070176,0.08771929824561403,0.017543859649122806,0.0,0.18518518518518517,0.18518518518518517,0.6111111111111112,0.018518518518518517,0.0,0.0,0.0,1.0,0.0,0.0,0.041666666666666664,0.20833333333333334,0.75,1.0
44,0.08771929824561403,0.017543859649122806,0.7894736842105263,0.10526315789473684,0.01694915254237288,0.847457627118644,0.13559322033898305,0.0,0.0,0.1509433962264151,0.18867924528301888,0.6415094339622641,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.20833333333333334,0.75,1.0
45,0.1076923076923077,0.03076923076923077,0.6615384615384615,0.2,0.017543859649122806,0.8771929824561403,0.10526315789473684,0.0,0.0,0.06521739130434782,0.21739130434782608,0.717391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.2222222222222222,0.7037037037037037,1.0
46,0.11428571428571428,0.08571428571428572,0.6,0.2,0.018518518518518517,0.9259259259259259,0.05555555555555555,0.0,0.0,0.06666666666666667,0.2222222222222222,0.7111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.25925925925925924,0.7037037037037037,1.0
47,0.10144927536231885,0.07246376811594203,0.6231884057971014,0.2028985507246377,0.0,0.9074074074074074,0.07407407407407407,0.018518518518518517,0.0,0.022727272727272728,0.20454545454545456,0.75,0.022727272727272728,0.0,0.5,0.5,0.0,0.0,0.0,0.04,0.24,0.72,1.0
48,0.08955223880597014,0.029850746268656716,0.6567164179104478,0.22388059701492538,0.0,0.8928571428571429,0.10714285714285714,0.0,0.022222222222222223,0.0,0.2222222222222222,0.7555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.19230769230769232,0.7307692307692307,1.0
