,"('S', ('VP',))","('S', ('VP', 'NP'))","('S', ('NP', 'VP'))","('S', ('NP', 'S'))","('S', ('S', 'NP'))","('VP', ('VP', 'NP'))","('VP', ('V',))","('VP', ('NP', 'VP'))","('VP', ('NP', 'V'))","('VP', ('V', 'NP'))","('NP', 'np')","('NP', ('NP', 'NP'))","('V', 'v')"
171,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
172,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
173,0.7142857142857143,0.0,0.0,0.25,0.03571428571428571,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
174,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
175,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
176,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
177,1.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.7142857142857143,0.25,0.0,0.0,1.0,0.0,1.0
178,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
179,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
180,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
181,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
182,1.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.7142857142857143,0.25,0.0,0.0,1.0,0.0,1.0
183,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
184,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
185,1.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.7142857142857143,0.25,0.0,0.0,1.0,0.0,1.0
186,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
187,1.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.7142857142857143,0.25,0.0,0.0,1.0,0.0,1.0
