,"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V',))","('VP', ('VP', 'NPA'))"
704,0.655172414,0.310344828,0.034482759,0,0,0.644444444,0.222222222,0.133333333,0,0,0.5,0,0.5,0,0.163934426,0.016393443,0.016393443,0.803278689,1,0.049180328,0.639344262,0.180327869,0.131147541
705,0.708333333,0.208333333,0.041666667,0.041666667,1,0,0,0,0,0.016949153,0.576271186,0.169491525,0.237288136,0,0,0.818181818,0.090909091,0.090909091,1,0,0.018867925,0.924528302,0.056603774
706,0.739130435,0.217391304,0.043478261,0,1,0,0,0,0,0.016949153,0.576271186,0.169491525,0.237288136,0,0,0.789473684,0.122807018,0.087719298,1,0,0.019230769,0.942307692,0.038461538
707,0.739130435,0.217391304,0.043478261,0,1,0,0,0,0,0.01754386,0.596491228,0.175438596,0.210526316,0,0.032786885,0.737704918,0.147540984,0.081967213,1,0,0.02,0.98,0
708,0.708333333,0.25,0.041666667,0,0,0,0,0,0,0.034482759,0.568965517,0.172413793,0.224137931,0,0,0.762711864,0.152542373,0.084745763,1,0.038461538,0,0.961538462,0
709,0.75,0.208333333,0.041666667,0,1,0,0,0,0,0,0.607142857,0.178571429,0.214285714,0,0.052631579,0.771929825,0.070175439,0.105263158,1,0,0.018181818,0.890909091,0.090909091
710,0.76,0.2,0.04,0,0,0,0,0,0,0,0.586206897,0.172413793,0.224137931,0.017241379,0.01754386,0.771929825,0.105263158,0.105263158,1,0.018518519,0,0.925925926,0.055555556
711,0.730769231,0.230769231,0.038461538,0,0,1,0,0,0,0,0.581818182,0.181818182,0.236363636,0,0.054545455,0.763636364,0.036363636,0.145454545,1,0.017241379,0.017241379,0.844827586,0.120689655
712,0.75,0.208333333,0.041666667,0,1,0,0,0,0,0,0.607142857,0.178571429,0.214285714,0,0.038461538,0.846153846,0,0.115384615,1,0.016666667,0.016666667,0.816666667,0.15
713,0.76,0.2,0.04,0,0,0.68,0.18,0.12,0.02,0,0,0.5,0.5,0,0.105263158,0.01754386,0.01754386,0.859649123,1,0.033333333,0.716666667,0.116666667,0.133333333
714,0.75,0.208333333,0.041666667,0,0,0.641509434,0.169811321,0.169811321,0.018867925,0.333333333,0,0.333333333,0,0.333333333,0.016949153,0.033898305,0.13559322,0.813559322,1,0.055555556,0.796296296,0.12962963,0.018518519
715,0.75,0.208333333,0.041666667,0,0.018867925,0.641509434,0.188679245,0.132075472,0.018867925,0,0,0,0,0,0.036363636,0,0.054545455,0.909090909,1,0.081967213,0.737704918,0.081967213,0.098360656
716,0.666666667,0.25,0.041666667,0.041666667,0.018181818,0.6,0.181818182,0.2,0,1,0,0,0,0,0.018867925,0.037735849,0.037735849,0.905660377,1,0.017241379,0.75862069,0.103448276,0.120689655
717,0.75,0.208333333,0.041666667,0,0.016949153,0.576271186,0.169491525,0.220338983,0.016949153,0,0,0,0,0,0,0,0.056603774,0.943396226,1,0.01754386,0.789473684,0.087719298,0.105263158
718,0.68,0.2,0.12,0,0.5,0,0,0,0.5,0.018518519,0.62962963,0.148148148,0.185185185,0.018518519,0.05,0.716666667,0.116666667,0.116666667,1,0.018867925,0.018867925,0.924528302,0.037735849
719,0.75,0.208333333,0.041666667,0,0,0,0,0,0,0.016666667,0.566666667,0.166666667,0.233333333,0.016666667,0,0.762711864,0.152542373,0.084745763,1,0,0,1,0
720,0.72,0.2,0.04,0.04,0,0,0,0,0,0.017857143,0.607142857,0.178571429,0.178571429,0.017857143,0.052631579,0.789473684,0.070175439,0.087719298,1,0,0,0.909090909,0.090909091
721,0.730769231,0.230769231,0.038461538,0,0,0,0,0,0,0,0.6,0.181818182,0.218181818,0,0.032786885,0.704918033,0.147540984,0.114754098,1,0.056603774,0,0.943396226,0
722,0.75,0.208333333,0.041666667,0,0,0,0,0,0,0.016666667,0.566666667,0.166666667,0.233333333,0.016666667,0,0.762711864,0.152542373,0.084745763,1,0,0,1,0
723,0.76,0.2,0.04,0,0,0,0,0,0,0,0.607142857,0.178571429,0.214285714,0,0.035714286,0.785714286,0.071428571,0.107142857,1,0.035087719,0,0.877192982,0.087719298
724,0.666666667,0.185185185,0.037037037,0.111111111,0,0,0,0,0,0.019230769,0.653846154,0.192307692,0.134615385,0,0.083333333,0.75,0.083333333,0.083333333,1,0.018518519,0,0.925925926,0.055555556
725,0.68,0.24,0.08,0,0,0,0,0,0,0.041666667,0.6875,0.1875,0.041666667,0.041666667,0.184615385,0.676923077,0.046153846,0.092307692,1,0,0,0.892857143,0.107142857
726,0.588235294,0.352941176,0.058823529,0,0,0.70212766,0.212765957,0.085106383,0,0.818181818,0,0,0.181818182,0,0,0.152542373,0.152542373,0.694915254,1,0.038461538,0.826923077,0.134615385,0
727,0.555555556,0.277777778,0.055555556,0.111111111,0.020833333,0.708333333,0.208333333,0.041666667,0.020833333,1,0,0,0,0,0.018867925,0.150943396,0.037735849,0.79245283,1,0.034482759,0.775862069,0.086206897,0.103448276
728,0.5,0.333333333,0.041666667,0.125,0.022727273,0.704545455,0.227272727,0.022727273,0.022727273,0.857142857,0,0,0,0.142857143,0.116666667,0.1,0.05,0.733333333,1,0,0.763636364,0.145454545,0.090909091
729,0.466666667,0.4,0.066666667,0.066666667,0,0.733333333,0.222222222,0.044444444,0,0.8,0,0,0.133333333,0.066666667,0,0.222222222,0.074074074,0.703703704,1,0,0.796296296,0.12962963,0.074074074
730,0.461538462,0.384615385,0.076923077,0.076923077,0,0.755555556,0.222222222,0,0.022222222,0.866666667,0,0,0.066666667,0.066666667,0,0.240740741,0.074074074,0.685185185,1,0,0.814814815,0.111111111,0.074074074
731,0.571428571,0.357142857,0.071428571,0,0,0.708333333,0.208333333,0.0625,0.020833333,1,0,0,0,0,0.018867925,0.20754717,0.037735849,0.735849057,1,0,0.771929825,0.105263158,0.122807018
732,0.647058824,0.294117647,0.058823529,0,0.020408163,0.693877551,0.204081633,0.06122449,0.020408163,1,0,0,0,0,0.038461538,0.134615385,0,0.826923077,1,0.032786885,0.737704918,0.081967213,0.147540984
733,0.6,0.333333333,0.066666667,0,0,0.6875,0.208333333,0.083333333,0.020833333,0.833333333,0.083333333,0,0.083333333,0,0,0.211538462,0.038461538,0.75,1,0,0.754385965,0.122807018,0.122807018
734,0.647058824,0.294117647,0.058823529,0,0,0.70212766,0.212765957,0.063829787,0.021276596,0.8,0.1,0,0,0.1,0.019230769,0.173076923,0.019230769,0.788461538,1,0.033333333,0.716666667,0.116666667,0.133333333
735,0.533333333,0.4,0.066666667,0,0.020833333,0.6875,0.208333333,0.083333333,0,0.909090909,0,0,0.090909091,0,0.01754386,0.175438596,0.105263158,0.701754386,1,0,0.830188679,0.113207547,0.056603774
736,0.631578947,0.315789474,0.052631579,0,0.037735849,0.622641509,0.188679245,0.150943396,0,1,0,0,0,0,0.033333333,0.083333333,0.133333333,0.75,1,0,0.882352941,0.098039216,0.019607843
737,0.666666667,0.222222222,0.037037037,0.074074074,0.021276596,0.659574468,0.14893617,0.14893617,0.021276596,0,0.4,0.6,0,0,0.118644068,0.084745763,0.033898305,0.762711864,1,0,0.696428571,0.196428571,0.107142857
738,0.72,0.24,0.04,0,0.020408163,0.653061224,0.204081633,0.12244898,0,0,1,0,0,0,0.166666667,0.016666667,0,0.816666667,1,0,0.728813559,0.118644068,0.152542373
739,0.642857143,0.25,0.071428571,0.035714286,0.022727273,0.727272727,0.204545455,0.022727273,0.022727273,0,0,0,0,0,0.223880597,0,0.029850746,0.746268657,1,0.01754386,0.736842105,0.140350877,0.105263158
740,0.76,0.2,0.04,0,0,0.723404255,0.212765957,0.042553191,0.021276596,0,0,0,0,0,0.184615385,0,0.046153846,0.769230769,1,0.01754386,0.771929825,0.105263158,0.105263158
741,0.72,0.2,0.04,0.04,0,0,0,0,0,0.018181818,0.618181818,0.181818182,0.163636364,0.018181818,0.068965517,0.775862069,0.068965517,0.086206897,1,0,0,0.909090909,0.090909091
742,0.692307692,0.192307692,0.038461538,0.076923077,0,0,0,0,0,0.01754386,0.596491228,0.175438596,0.210526316,0,0.018181818,0.818181818,0.072727273,0.090909091,1,0.018181818,0,0.909090909,0.072727273
743,0.75,0.208333333,0.041666667,0,0,0,0,0,0,0.016949153,0.576271186,0.169491525,0.220338983,0.016949153,0.017241379,0.775862069,0.120689655,0.086206897,1,0,0,0.961538462,0.038461538
744,0.68,0.24,0.04,0.04,0,0,0,0,0,0.033898305,0.559322034,0.169491525,0.237288136,0,0,0.789473684,0.122807018,0.087719298,1,0,0,0.961538462,0.038461538
745,0.666666667,0.222222222,0.037037037,0.074074074,0,0,0,0,0,0.017857143,0.589285714,0.178571429,0.214285714,0,0.053571429,0.785714286,0.053571429,0.107142857,1,0,0,0.909090909,0.090909091
746,0.692307692,0.192307692,0.038461538,0.076923077,0,0,0,0,0,0.018518519,0.62962963,0.185185185,0.148148148,0.018518519,0.074074074,0.833333333,0,0.092592593,1,0,0,0.847457627,0.152542373
747,0.653846154,0.192307692,0.038461538,0.115384615,0.017857143,0.607142857,0.178571429,0.178571429,0.017857143,1,0,0,0,0,0,0.018181818,0.090909091,0.890909091,1,0.018518519,0.833333333,0.092592593,0.055555556
748,0.681818182,0.272727273,0.045454545,0,0.037037037,0.611111111,0.185185185,0.111111111,0.055555556,1,0,0,0,0,0.037735849,0.037735849,0.018867925,0.905660377,1,0.033333333,0.75,0.083333333,0.133333333
749,0.708333333,0.208333333,0.041666667,0.041666667,0.019230769,0.653846154,0.192307692,0.115384615,0.019230769,1,0,0,0,0,0.087719298,0.01754386,0.035087719,0.859649123,1,0.034482759,0.775862069,0.086206897,0.103448276
