,"('S', ('VP', 'NP'))","('S', ('NP', 'VP'))","('S', ('NP', 'S'))","('S', ('VP',))","('S', ('S', 'NP'))","('VP', ('VP', 'NP'))","('VP', ('NP', 'VP'))","('VP', ('V', 'NP'))","('VP', ('V',))","('VP', ('NP', 'V'))","('NP', ('NP', 'NP'))","('NP', 'np')","('V', 'v')"
38,0.05357142857142857,0.0,0.03571428571428571,0.8392857142857143,0.07142857142857142,0.13636363636363635,0.10606060606060606,0.045454545454545456,0.12121212121212122,0.5909090909090909,0.028169014084507043,0.971830985915493,1.0
39,0.1206896551724138,0.0,0.034482758620689655,0.7413793103448276,0.10344827586206896,0.05263157894736842,0.07017543859649122,0.05263157894736842,0.10526315789473684,0.7192982456140351,0.041666666666666664,0.9583333333333334,1.0
40,0.23214285714285715,0.03571428571428571,0.017857142857142856,0.625,0.08928571428571429,0.03571428571428571,0.07142857142857142,0.0,0.16071428571428573,0.7321428571428571,0.014285714285714285,0.9857142857142858,1.0
41,0.1724137931034483,0.10344827586206896,0.06896551724137931,0.5862068965517241,0.06896551724137931,0.07272727272727272,0.01818181818181818,0.03636363636363636,0.18181818181818182,0.6909090909090909,0.0,1.0,1.0
42,0.19230769230769232,0.038461538461538464,0.019230769230769232,0.7307692307692307,0.019230769230769232,0.08196721311475409,0.09836065573770492,0.06557377049180328,0.16393442622950818,0.5901639344262295,0.0547945205479452,0.9452054794520548,1.0
43,0.14545454545454545,0.01818181818181818,0.01818181818181818,0.7454545454545455,0.07272727272727272,0.06451612903225806,0.12903225806451613,0.03225806451612903,0.1774193548387097,0.5967741935483871,0.0547945205479452,0.9452054794520548,1.0
44,0.2,0.03636363636363636,0.01818181818181818,0.6727272727272727,0.07272727272727272,0.01694915254237288,0.13559322033898305,0.03389830508474576,0.1864406779661017,0.6271186440677966,0.041666666666666664,0.9583333333333334,1.0
45,0.01639344262295082,0.01639344262295082,0.0,0.7868852459016393,0.18032786885245902,0.109375,0.109375,0.0,0.171875,0.609375,0.041666666666666664,0.9583333333333334,1.0
46,0.07692307692307693,0.03076923076923077,0.03076923076923077,0.6615384615384615,0.2,0.0,0.07407407407407407,0.037037037037037035,0.18518518518518517,0.7037037037037037,0.041666666666666664,0.9583333333333334,1.0
47,0.15517241379310345,0.15517241379310345,0.0,0.5517241379310345,0.13793103448275862,0.03636363636363636,0.05454545454545454,0.01818181818181818,0.2545454545454545,0.6363636363636364,0.028169014084507043,0.971830985915493,1.0
48,0.07936507936507936,0.047619047619047616,0.047619047619047616,0.6666666666666666,0.15873015873015872,0.07142857142857142,0.03571428571428571,0.017857142857142856,0.14285714285714285,0.7321428571428571,0.0,1.0,1.0
49,0.21818181818181817,0.12727272727272726,0.0,0.5636363636363636,0.09090909090909091,0.05084745762711865,0.1016949152542373,0.0,0.23728813559322035,0.6101694915254238,0.0,1.0,1.0
50,0.06666666666666667,0.65,0.13333333333333333,0.11666666666666667,0.03333333333333333,0.10714285714285714,0.0,0.125,0.7678571428571429,0.0,0.041666666666666664,0.9583333333333334,1.0
51,0.017543859649122806,0.631578947368421,0.10526315789473684,0.22807017543859648,0.017543859649122806,0.08620689655172414,0.05172413793103448,0.22413793103448276,0.603448275862069,0.034482758620689655,0.028169014084507043,0.971830985915493,1.0
52,0.01694915254237288,0.6779661016949152,0.15254237288135594,0.15254237288135594,0.0,0.13793103448275862,0.0,0.1724137931034483,0.6896551724137931,0.0,0.014285714285714285,0.9857142857142858,1.0
53,0.08620689655172414,0.6724137931034483,0.017241379310344827,0.10344827586206896,0.1206896551724138,0.0967741935483871,0.0967741935483871,0.03225806451612903,0.7258064516129032,0.04838709677419355,0.0,1.0,1.0
54,0.0,0.6415094339622641,0.0,0.3018867924528302,0.05660377358490566,0.03773584905660377,0.018867924528301886,0.22641509433962265,0.5283018867924528,0.18867924528301888,0.09210526315789473,0.9078947368421053,1.0
